event_ID,event_year,month,start_date,end_date,event_name,beach,province,Country
1,2019,4,4/3/19,4/13/19,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
2,2019,4,4/17/19,4/27/19,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
3,2019,5,5/13/19,5/25/19,Corona Bali Protected,Keramas,Bali,Indonesia
4,2019,5,5/29/19,5/9/19,Margaret River Pro,Margaret River,Western Australia,Australia
5,2019,6,6/20/19,6/28/19,Oi Rio Pro,Saquarema,Rio de Janeiro,Brazil
6,2019,7,7/9/19,7/22/19,Corona Open J-Bay,Jeffreys Bay,Eastern Cape,South Africa
7,2019,8,8/21/19,8/1/19,Tahiti Pro Teahupo'o,Teahupoʻo,Tahiti,French Polynesia
8,2019,9,9/19/19,9/21/19,Freshwater Pro,Lemoore,California,United States
9,2019,10,10/3/19,10/13/19,Quiksilver Pro France,CHS,Nouvelle-Aquitaine,France
10,2019,10,10/16/19,10/28/19,MEO Rip Curl Pro Portugal,Peniche,Peniche,Portugal
11,2019,12,12/8/19,12/20/19,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
12,2018,3,3/11/18,3/22/18,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
13,2018,3,3/28/18,3/8/18,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
14,2018,5,5/11/18,5/20/18,Oi Rio Pro,Saquarema,Rio de Janeiro,Brazil
15,2018,5,5/27/18,5/9/18,Corona Bali Protected,Keramas,Bali,Indonesia
16,2018,6,6/8/18,6/11/18,Uluwatu CT,Uluwatu,Bali,Indonesia
17,2018,7,7/2/18,7/13/18,Corona Open J-Bay,Jeffreys Bay,Eastern Cape,South Africa
18,2018,8,8/10/18,8/21/18,Tahiti Pro Teahupo'o,Teahupoʻo,Tahiti,French Polynesia
19,2018,9,9/6/18,9/9/18,Surf Ranch Pro,Lemoore,California,United States
20,2018,10,10/3/18,10/14/18,Quiksilver Pro France,CHS,Nouvelle-Aquitaine,France
21,2018,10,10/16/18,10/27/18,MEO Rip Curl Pro Portugal,Peniche,Peniche,Portugal
22,2018,12,12/8/18,12/20/18,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
23,2017,3,3/14/17,3/25/17,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
24,2017,3,3/29/17,3/9/17,Drug Aware Margaret River Pro,Margaret River,Western Australia,Australia
25,2017,4,4/12/17,4/24/17,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
26,2017,5,5/9/17,5/20/17,Oi Rio Pro,Saquarema,Rio de Janeiro,Brazil
27,2017,6,6/4/17,6/16/17,Outerknown Fiji Pro,Namotu,Tavarua,Fiji
28,2017,7,7/12/17,7/23/17,Corona Open J-Bay,Jeffreys Bay,Eastern Cape,South Africa
29,2017,8,8/11/17,8/22/17,Billabong Pro Tahiti,Teahupoʻo,Tahiti,French Polynesia
30,2017,9,9/6/17,9/17/17,Hurley Pro at Trestles,Lower Trestles,California,United States
31,2017,10,10/7/17,10/18/17,Quiksilver Pro France,CHS,Nouvelle-Aquitaine,France
32,2017,10,10/20/17,10/31/17,MEO Rip Curl Pro Portugal,Peniche,Peniche,Portugal
33,2017,12,12/8/17,12/20/17,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
34,2016,3,3/10/16,3/21/16,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
35,2016,3,3/24/16,3/5/16,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
36,2016,4,4/8/16,4/19/16,Drug Aware Margaret River Pro,Margaret River,Western Australia,Australia
37,2016,5,5/10/16,5/21/16,Oi Rio Pro,Rio de Janeiro,Rio de Janeiro,Brazil
38,2016,6,6/5/16,6/17/16,Fiji Pro,Namotu,Tavarua,Fiji
39,2016,7,7/6/16,7/17/16,J-Bay Open,Jeffreys Bay,Eastern Cape,South Africa
40,2016,8,8/19/16,8/30/16,Billabong Pro Tahiti,Teahupoʻo,Tahiti,French Polynesia
41,2016,9,9/7/16,9/18/16,Hurley Pro at Trestles,Lower Trestles,California,United States
42,2016,10,10/4/16,10/15/16,Quiksilver Pro France,Seignosse,Hossegor,France
43,2016,10,10/18/16,10/29/16,MEO Rip Curl Pro Portugal,Peniche,Peniche,Portugal
44,2016,12,12/8/16,12/20/16,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
45,2015,2,2/28/15,2/13/15,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
46,2015,4,4/1/15,4/12/15,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
47,2015,4,4/15/15,4/26/15,Drug Aware Margaret River Pro,Margaret River,Western Australia,Australia
48,2015,5,5/11/15,5/22/15,Oi Rio Pro,Rio de Janeiro,Rio de Janeiro,Brazil
49,2015,6,6/7/15,6/19/15,Fiji Pro,Namotu,Tavarua,Fiji
50,2015,7,7/8/15,7/19/15,J-Bay Open,Jeffreys Bay,Eastern Cape,South Africa
51,2015,8,8/14/15,8/25/15,Billabong Pro Tahiti,Teahupoʻo,Tahiti,French Polynesia
52,2015,9,9/9/15,9/20/15,Hurley Pro at Trestles,Lower Trestles,California,United States
53,2015,10,10/6/15,10/17/15,Quiksilver Pro France,Seignosse,Hossegor,France
54,2015,10,10/20/15,10/31/15,Moche Rip Curl Pro Portugal,Peniche,Peniche,Portugal
55,2015,12,12/8/15,12/20/15,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
56,2014,3,3/1/14,3/12/14,Quiksilver Pro Gold Coast,Gold Coast,Queensland,Australia
57,2014,4,4/2/14,4/13/14,Drug Aware Margaret River Pro,Margaret River,Western Australia,Australia
58,2014,4,4/16/14,4/27/14,Rip Curl Pro Bells Beach,Bells Beach,Victoria,Australia
59,2014,5,5/7/14,5/18/14,Billabong Rio Pro,Rio de Janeiro,Rio de Janeiro,Brazil
60,2014,6,6/1/14,6/13/14,Fiji Pro,Namotu,Tavarua,Fiji
61,2014,7,7/10/14,7/21/14,J-Bay Open,Jeffreys Bay,Eastern Cape,South Africa
62,2014,8,8/15/14,8/26/14,Billabong Pro Tahiti,Teahupoʻo,Tahiti,French Polynesia
63,2014,9,9/9/14,9/20/14,Hurley Pro at Trestles,Lower Trestles,California,United States
64,2014,9,9/25/14,9/6/14,Quiksilver Pro France,Seignosse,Hossegor,France
65,2014,10,10/12/14,10/23/14,Moche Rip Curl Pro Portugal,Peniche,Peniche,Portugal
66,2014,12,12/8/14,12/20/14,Billabong Pipe Masters,Banzai Pipeline,Hawaii,United States
