surfer_name,event_ID,Score
Italo Ferreira,1,10000
Italo Ferreira,2,4745
Italo Ferreira,3,1330
Italo Ferreira,4,4745
Italo Ferreira,5,1330
Italo Ferreira,6,7800
Italo Ferreira,7,1330
Italo Ferreira,8,3320
Italo Ferreira,9,7800
Italo Ferreira,10,10000
Italo Ferreira,11,10000
Gabriel Medina,1,4745
Gabriel Medina,2,4745
Gabriel Medina,3,1330
Gabriel Medina,4,1330
Gabriel Medina,5,4745
Gabriel Medina,6,10000
Gabriel Medina,7,7800
Gabriel Medina,8,10000
Gabriel Medina,9,3320
Gabriel Medina,10,3320
Gabriel Medina,11,7800
Jordy Smith,1,6085
Jordy Smith,2,6085
Jordy Smith,3,1330
Jordy Smith,4,4745
Jordy Smith,5,7800
Jordy Smith,6,3320
Jordy Smith,7,6085
Jordy Smith,8,4745
Jordy Smith,9,3320
Jordy Smith,10,7800
Jordy Smith,11,1330
Filipe Toledo,1,3320
Filipe Toledo,2,7800
Filipe Toledo,3,4745
Filipe Toledo,4,1330
Filipe Toledo,5,10000
Filipe Toledo,6,6085
Filipe Toledo,7,3320
Filipe Toledo,8,7800
Filipe Toledo,9,1330
Filipe Toledo,10,4745
Filipe Toledo,11,1330
Kolohe Andino,1,7800
Kolohe Andino,2,1330
Kolohe Andino,3,4745
Kolohe Andino,4,7800
Kolohe Andino,5,6085
Kolohe Andino,6,6085
Kolohe Andino,7,1330
Kolohe Andino,8,1330
Kolohe Andino,9,4745
Kolohe Andino,10,4745
Kolohe Andino,11,3320
Kanoa Igarashi,1,3320
Kanoa Igarashi,2,3320
Kanoa Igarashi,3,10000
Kanoa Igarashi,4,3320
Kanoa Igarashi,5,4745
Kanoa Igarashi,6,4745
Kanoa Igarashi,7,1330
Kanoa Igarashi,8,3320
Kanoa Igarashi,9,1330
Kanoa Igarashi,10,6085
Kanoa Igarashi,11,1330
John John Florence,1,6085
John John Florence,2,10000
John John Florence,3,1330
John John Florence,4,10000
John John Florence,5,4745
John John Florence,6,265
John John Florence,7,265
John John Florence,8,265
John John Florence,9,265
John John Florence,10,265
John John Florence,11,4745
Kelly Slater,1,265
Kelly Slater,2,4745
Kelly Slater,3,6085
Kelly Slater,4,3320
Kelly Slater,5,3320
Kelly Slater,6,3320
Kelly Slater,7,1330
Kelly Slater,8,3320
Kelly Slater,9,1330
Kelly Slater,10,3320
Kelly Slater,11,6085
Owen Wright,1,3320
Owen Wright,2,3320
Owen Wright,3,1330
Owen Wright,4,3320
Owen Wright,5,1330
Owen Wright,6,4745
Owen Wright,7,10000
Owen Wright,8,6085
Owen Wright,9,1330
Owen Wright,10,1330
Owen Wright,11,1330
Jeremy Flores,1,1330
Jeremy Flores,2,3320
Jeremy Flores,3,7800
Jeremy Flores,4,1330
Jeremy Flores,5,265
Jeremy Flores,6,1330
Jeremy Flores,7,4745
Jeremy Flores,8,1330
Jeremy Flores,9,10000
Jeremy Flores,10,1330
Jeremy Flores,11,265
Julian Wilson,1,1330
Julian Wilson,2,1330
Julian Wilson,3,3320
Julian Wilson,4,6085
Julian Wilson,5,4745
Julian Wilson,6,1330
Julian Wilson,7,3320
Julian Wilson,8,4745
Julian Wilson,9,3320
Julian Wilson,10,1330
Julian Wilson,11,3320
Seth Moniz,1,4745
Seth Moniz,2,3320
Seth Moniz,3,1330
Seth Moniz,4,4745
Seth Moniz,5,1330
Seth Moniz,6,1330
Seth Moniz,7,6085
Seth Moniz,8,1330
Seth Moniz,9,3320
Seth Moniz,10,265
Seth Moniz,11,3320
Michel Bourez,1,3320
Michel Bourez,2,1330
Michel Bourez,3,3320
Michel Bourez,4,3320
Michel Bourez,5,3320
Michel Bourez,6,3320
Michel Bourez,7,3320
Michel Bourez,8,265
Michel Bourez,9,3320
Michel Bourez,10,1330
Michel Bourez,11,4745
Ryan Callinan,1,1330
Ryan Callinan,2,6085
Ryan Callinan,3,3320
Ryan Callinan,4,4745
Ryan Callinan,5,1330
Ryan Callinan,6,3320
Ryan Callinan,7,1330
Ryan Callinan,8,1330
Ryan Callinan,9,4745
Ryan Callinan,10,265
Ryan Callinan,11,1330
Jack Freestone,1,1330
Jack Freestone,2,1330
Jack Freestone,3,3320
Jack Freestone,4,1330
Jack Freestone,5,1330
Jack Freestone,6,1330
Jack Freestone,7,3320
Jack Freestone,8,1330
Jack Freestone,9,6085
Jack Freestone,10,4745
Jack Freestone,11,4745
Griffin Colapinto,1,1330
Griffin Colapinto,2,265
Griffin Colapinto,3,1330
Griffin Colapinto,4,1330
Griffin Colapinto,5,3320
Griffin Colapinto,6,1330
Griffin Colapinto,7,3320
Griffin Colapinto,8,6085
Griffin Colapinto,9,1330
Griffin Colapinto,10,3320
Griffin Colapinto,11,6085
Caio Ibelli,1,265
Caio Ibelli,2,1330
Caio Ibelli,3,1330
Caio Ibelli,4,6085
Caio Ibelli,5,1330
Caio Ibelli,6,1330
Caio Ibelli,7,4745
Caio Ibelli,8,1330
Caio Ibelli,9,1330
Caio Ibelli,10,6085
Caio Ibelli,11,3320
Wade Carmichael,1,4745
Wade Carmichael,2,1330
Wade Carmichael,3,4745
Wade Carmichael,4,265
Wade Carmichael,5,3320
Wade Carmichael,6,1330
Wade Carmichael,7,1330
Wade Carmichael,8,3320
Wade Carmichael,9,3320
Wade Carmichael,10,3320
Wade Carmichael,11,1330
Adrian Buchan,1,1330
Adrian Buchan,2,1330
Adrian Buchan,3,4745
Adrian Buchan,4,265
Adrian Buchan,5,265
Adrian Buchan,6,4745
Adrian Buchan,7,1330
Adrian Buchan,8,4745
Adrian Buchan,9,4745
Adrian Buchan,10,1330
Adrian Buchan,11,1330
Conner Coffin,1,4745
Conner Coffin,2,3320
Conner Coffin,3,3320
Conner Coffin,4,3320
Conner Coffin,5,1330
Conner Coffin,6,1330
Conner Coffin,7,1330
Conner Coffin,8,1330
Conner Coffin,9,1330
Conner Coffin,10,3320
Conner Coffin,11,1330
Peterson Crisanto,1,1330
Peterson Crisanto,2,3320
Peterson Crisanto,3,1330
Peterson Crisanto,4,3320
Peterson Crisanto,5,265
Peterson Crisanto,6,3320
Peterson Crisanto,7,1330
Peterson Crisanto,8,265
Peterson Crisanto,9,1330
Peterson Crisanto,10,4745
Peterson Crisanto,11,3320
Yago Dora,1,3320
Yago Dora,2,1330
Yago Dora,3,1330
Yago Dora,4,1330
Yago Dora,5,1330
Yago Dora,6,1330
Yago Dora,7,1330
Yago Dora,8,4745
Yago Dora,9,3320
Yago Dora,10,1330
Yago Dora,11,4745
Deivid Silva,1,1330
Deivid Silva,2,3320
Deivid Silva,3,1330
Deivid Silva,4,1330
Deivid Silva,5,3320
Deivid Silva,6,3320
